degree,I1,I2,I3,I4,I5,I6
104.0,0.13428824508461293,0.07793304904578045,1.0311743473817846e-6,0.37946521495604,0.01739433667842025,0.35765514243081425
105.0,0.13517767745107853,0.08192215655447198,3.4973871844684404e-8,0.38104454319353726,0.01809572310992344,0.3591680566106662
106.0,0.13612125982316037,0.08608234465702537,3.7972318474696805e-8,0.3827559194154098,0.018848989548340942,0.36079041779272536
107.0,0.13712042884800185,0.0904208166792711,3.0484582501685906e-8,0.3846000236862853,0.01965449184783489,0.3625233252226975
108.0,0.13817670441612542,0.09494512114875621,2.4091456381655087e-8,0.38657763456494854,0.02051262533100042,0.3643679768715508
109.0,0.13929168796076208,0.09966316646086243,4.761469490363379e-6,0.38868963124799205,0.021423825359393463,0.3663256695387407
110.0,0.14046707742940595,0.10458319391427541,4.028955422855234e-6,0.39093695530805955,0.022388554254471508,0.3683977836929263
111.0,0.14170464578573952,0.10971383926116947,3.904074891376434e-6,0.3933206615089241,0.023407318309715198,0.3705858021794485
112.0,0.14300625877060694,0.11506409879675891,3.2819103967887968e-6,0.3958418737402304,0.024480652775264747,0.3728912930989132
113.0,0.14437386915645517,0.12064335236944135,3.2427069929987317e-6,0.3985017986121898,0.025609126328821844,0.37531591467198383
114.0,0.14580952075760467,0.12646136147028603,2.6571702282888676e-6,0.40130171545301846,0.02679333757600013,0.37786141121078554
115.0,0.1473153464185762,0.13252828295869942,2.4853472899866524e-6,0.4042429822265802,0.02803391697271361,0.3805296154254079
116.0,0.14889357136274925,0.1388546678129974,2.3211755164576574e-6,0.40732702834909784,0.029331524315276355,0.38332244578535885
117.0,0.15054651322005552,0.14545146848407534,1.7901788484915465e-6,0.4105553568241084,0.030686849422289084,0.38624190771652467
118.0,0.15227658337207292,0.15233004222015642,7.193043484461993e-8,0.4139295438393716,0.0321006119813817,0.38929009402148085
119.0,0.15408628454271311,0.15950216631728945,1.3421402576344337e-6,0.4174512500158685,0.033573565424896895,0.3924691902975861
120.0,0.1559782213549475,0.166980010066862,2.150809347754209e-8,0.4211221961769936,0.03510648866879469,0.39578146616712
121.0,0.1579550893221612,0.17477617883867605,1.6838283712378057e-8,0.4249442015250896,0.0367001993066632,0.39922929225200415
122.0,0.1600196868495249,0.18290369449763183,-6.529767813136804e-9,0.42891915868267083,0.038355545196294034,0.4028151314423473
123.0,0.16217490906132417,0.1913759872336554,-6.6395237776070584e-9,0.43304905935984556,0.04007341341161303,0.40654155219781984
124.0,0.16442475394262152,0.2002143703410114,-6.747139390331793e-9,0.43733334684384406,0.04185382367037843,0.41040984953368825
125.0,0.16677026360055144,0.20941813716435,-6.853807672576008e-9,0.44177922507843026,0.04369944728942774,0.4144253663067455
126.0,0.16921570095834462,0.21900954779381546,-6.958751077002259e-9,0.44638662449986255,0.045610494799269645,0.4185898250464254
127.0,0.171764382171385,0.22900376131113556,-7.06187029665286e-9,0.45115798358529635,0.04758803068053247,0.42290626449582425
128.0,0.17441973517208514,0.23941637881770717,-7.1630757992445305e-9,0.45609588163270615,0.049633174892029966,0.4273778629077605
